tempo,x,y,referencia,ang_control,angulo
1541268302.654272,73.6,11,160,0,59.89202197972996
1541268302.6802883,73.4,11,160,0,59.83450084471015
1541268302.7039404,74,11,160,0,60.00726539900564
1541268302.727227,75.2,11,160,0,60.354604835771084
1541268302.7533236,76.4,11,160,0,60.704357659235136
1541268302.779278,77.4,11,160,0,60.99766113569682
1541268302.805616,78.4,11,160,0,61.292638798008625
1541268302.8294117,78.6,11,160,0,61.351835116520974
1541268302.8554168,78.6,11,160,0,61.351835116520974
1541268302.8796952,78.6,11,160,0,61.351835116520974
1541268302.9047902,79,11,160,0,61.47042843960859
1541268302.9172363,79.4,11,160,0,61.58928925076819
1541268302.9288883,80,11,160,0,61.76808174133644
1541268302.939345,80.6,11,160,0,61.947475358480105
1541268302.9516664,81.2,11,160,0,62.12746960390921
1541268302.96205,81.8,11,160,0,62.30806392857159
1541268302.9727945,82.2,11,160,0,62.42879322799664
1541268302.984922,82.6,11,160,0,62.54978877281833
1541268302.9953709,83.2,10,160,0,62.88755357204426
1541268303.0062637,83.8,10,160,0,63.069430467347274
1541268303.0323963,84.2,10,160,0,63.19100871300709
1541268303.0583236,85,10,160,0,63.43494882292201
1541268303.0842464,86.4,10,160,0,63.86435240697452
1541268303.1095226,88.2,10,160,0,64.42111551867977
1541268303.1350203,90.8,10,160,0,65.23454922974187
1541268303.158882,93.4,10,160,0,66.05877894557088
1541268303.1848376,96.8,10,160,0,67.15268608232145
1541268303.2079966,100.8,10,160,0,68.4625028780276
1541268303.2331614,105.2,10,160,0,69.93106635278355
1541268303.256368,110.4,10,160,0,71.70267087923014
1541268303.282033,115.6,10,160,0,73.51124629410876
1541268303.3086085,121,10,160,0,75.42578380196126
1541268303.3348556,126.4,10,160,0,77.37416312109269
1541268303.361811,132,10,160,0,79.42647658143909
1541268303.3876262,137.6,10,160,0,81.50659470003666
1541268303.4116335,144.4,10,160,0,84.06258390051849
1541268303.4374704,149.8,10,160,0,86.10987559593819
1541268303.4640646,155.2,10,160,0,88.16716049405794
1541268303.4878912,160.6,11,160,0,90.23072001271059
1541268303.5132244,165.8,11,160,0,92.22918004632793
1541268303.5378945,169.8,11,160,0,93.76302728942859
1541268303.563958,174.6,11,160,0,95.59635206960392
1541268303.5923114,179,11,160,0,97.26695440581169
1541268303.6179988,182.4,11,160,0,98.54956837230579
1541268303.6412857,184.6,11,160,0,99.37500016446744
1541268303.6643422,186.8,11,160,0,100.19652419770549
1541268303.692129,188.2,11,160,0,100.7171364564853
1541268303.719769,188.8,11,160,0,100.93971418687293
1541268303.7467122,189,11,160,0,101.01383289035141
1541268303.771118,189,11,160,0,101.01383289035141
1541268303.7964616,189,11,160,0,101.01383289035141
1541268303.820034,189,11,160,0,101.01383289035141
1541268303.8471777,189,11,160,0,101.01383289035141
1541268303.8745015,189,11,160,0,101.01383289035141
1541268303.9013317,189,11,160,0,101.01383289035141
1541268303.9264479,189,11,160,0,101.01383289035141
1541268303.9516573,188.8,11,160,0,100.93971418687293
1541268303.9759688,188.4,11,160,0,100.79136574879648
1541268304.0021222,188,11,160,0,100.64287074470357
1541268304.0292435,187.6,11,160,0,100.49423095510828
1541268304.0533285,187.2,11,160,0,100.34544817179366
1541268304.0775545,186.8,11,160,0,100.19652419770549
1541268304.1007247,186.6,11,160,0,100.12200983056754
1541268304.1261048,186.4,11,160,0,100.0474608468438
1541268304.1513715,186.2,11,160,0,99.97287747499342
1541268304.176715,186,11,160,0,99.89825994415253
1541268304.2022312,185.8,11,160,0,99.82360848413057
1541268304.2252865,185.6,11,160,0,99.74892332540693
1541268304.2522497,185.4,11,160,0,99.67420469912712
1541268304.278964,185.2,11,160,0,99.59945283709916
1541268304.3025446,185,11,160,0,99.52466797179
1541268304.325581,185,11,160,0,99.52466797179
1541268304.3495722,185,11,160,0,99.52466797179
1541268304.3776643,185,11,160,0,99.52466797179
1541268304.403569,185,11,160,0,99.52466797179
1541268304.4277778,185,11,160,0,99.52466797179
1541268304.4534178,184.6,11,160,0,99.37500016446744
1541268304.4794493,184.2,11,160,0,99.22520314992934
1541268304.5034277,183.8,11,160,0,99.07527881124575
1541268304.5304892,183.4,11,160,0,98.92522904166327
1541268304.5563843,183,11,160,0,98.77505574447967
1541268304.5796704,183,11,160,0,98.77505574447967
1541268304.6028032,183,11,160,0,98.77505574447967
1541268304.6295164,183,11,160,0,98.77505574447967
1541268304.656304,183,11,160,0,98.77505574447967
1541268304.6828272,183,11,160,0,98.77505574447967
1541268304.7081087,183,11,160,0,98.77505574447967
1541268304.7354918,183.2,11,160,0,98.85015771467634
1541268304.7585826,183.4,11,160,0,98.92522904166327
1541268304.7849452,183.6,11,160,0,99.00026948659485
1541268304.810873,184.4,11,160,0,99.30011769064843
1541268304.8375201,185.6,11,160,0,99.74892332540693
1541268304.860698,187.2,11,160,0,100.34544817179366
1541268304.8861446,189.6,11,160,0,101.23596429988854
1541268304.9106991,192,11,160,0,102.12101545258575
1541268304.9375172,194.6,12,160,0,103.15849617595696
1541268304.9633768,197.2,12,160,0,104.1090924808169
1541268304.9868386,199.4,12,160,0,104.90731902195712
1541268305.0110245,201.2,12,160,0,105.55605289143149
1541268305.0357623,203,12,160,0,106.20072299647245
1541268305.0627253,204.6,13,160,0,106.87786873170917
1541268305.088609,206.4,13,160,0,107.51810652841596
1541268305.112196,208.4,13,160,0,108.22421744146182
1541268305.1385465,210.6,13,160,0,108.9943690881087
1541268305.1621027,213.4,14,160,0,110.09016599850298
1541268305.188208,215.6,14,160,0,110.84793009389472
1541268305.2149363,217.8,14,160,0,111.59813770610255
1541268305.238031,220,14,160,0,112.34064795999413
1541268305.2637722,221.6,14,160,0,112.87574731067497
1541268305.2873607,222.8,14,160,0,113.27432844641886
1541268305.3143542,224,14,160,0,113.67053848472045
