x,y,referencia,ang_control,angulo
205.8,24,160,0,108.61170915090372
201.6,23,160,0,106.8908938387198
197.6,23,160,0,105.34708616743391
194.8,23,160,0,104.25252712647975
191,23,160,0,102.75002583581637
186.8,23,160,0,101.06845127033773
182.6,23,160,0,99.36734941871356
178.2,23,160,0,97.56724747342712
172.8,23,160,0,95.33768690776141
167.4,23,160,0,93.09180400567018
162.2,23,160,0,90.91999913591685
158,23,160,0,89.16362467457759
154,23,160,0,87.49229827293375
149.8,23,160,0,85.74203879573332
145.4,23,160,0,83.91698540258386
140,23,160,0,81.694323794444
134.6,23,160,0,79.496542688938
128.6,23,160,0,77.09093571630035
123,23,160,0,74.88652694042403
118.6,23,160,0,73.18571955427167
114.8,24,160,0,71.61562113703845
110.2,24,160,0,69.88845813272944
106.2,24,160,0,68.41683138116247
102,24,160,0,66.90317808183916
97,24,160,0,65.14476286706353
92.4,24,160,0,63.56992096315299
88,24,160,0,62.10272896905237
84.6,24,160,0,60.99549838116806
82.2,24,160,0,60.227904116988626
80.6,24,160,0,59.72261182560707
80,24,160,0,59.53445508054013
80,24,160,0,59.53445508054013
80,24,160,0,59.53445508054013
80,24,160,0,59.53445508054013
80,24,160,0,59.53445508054013
80,25,160,0,59.34933204294713
80,25,160,0,59.34933204294713
80.2,24,160,0,59.59709352836475
80.8,24,160,0,59.78549168336813
82.6,24,160,0,60.355031977597925
86.2,24,160,0,61.51365932388772
91.8,23,160,0,63.53540888276812
99.8,22,160,0,66.43163547463574
109.6,22,160,0,69.93692733391175
120.4,22,160,0,73.98882252119154
130.8,22,160,0,78.05276589540051
140.2,21,160,0,81.89298216494669
147.8,21,160,0,84.98401571493088
153.8,21,160,0,87.4460537465189
158.2,21,160,0,89.25808173498912
161.4,21,160,0,90.577060281079
163.6,21,160,0,91.48358781196673
165,22,160,0,92.0750263614174
165.8,22,160,0,92.40666707952306
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
166,21,160,0,92.4716647616334
